timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-09T13:42:26,20,4080,7919,60.0,6,0,0,0,0
2026-03-09T13:45:01,50,4145,7919,67.0,6,0,0,0,0
2026-03-09T13:50:01,16.2,4081,7919,61.0,6,0,0,0,0
2026-03-09T13:55:01,14.9,3970,7919,60.0,6,0,0,0,0
2026-03-09T14:00:01,81.9,3987,7919,66.0,6,0,0,0,0
2026-03-09T14:05:01,17.9,3976,7919,61.0,6,0,0,0,0
2026-03-09T14:10:01,15.2,3981,7919,60.0,6,0,0,0,0
2026-03-09T14:15:01,43.3,4005,7919,64.0,6,0,0,0,0
2026-03-09T14:20:01,19.7,3965,7919,60.0,6,0,0,0,0
2026-03-09T14:25:01,14.9,3973,7919,59.0,6,0,0,0,0
2026-03-09T14:30:01,76.1,4032,7919,68.0,6,0,0,0,0
2026-03-09T14:35:01,17.6,3974,7919,59.0,6,0,0,0,0
2026-03-09T14:40:01,20.6,3970,7919,60.0,6,0,0,0,0
2026-03-09T14:45:01,44.9,4004,7919,64.0,6,0,0,0,0
2026-03-09T14:50:01,17.9,3979,7919,59.0,6,0,0,0,0
2026-03-09T14:55:01,16.4,3987,7919,58.0,6,0,0,0,0
2026-03-09T15:00:01,78,4018,7919,65.0,6,0,0,0,0
2026-03-09T15:05:01,21.4,3997,7919,59.0,6,0,0,0,0
2026-03-09T15:10:01,17.9,3987,7919,60.0,6,0,0,0,0
2026-03-09T15:15:01,57.7,4052,7919,65.0,6,0,0,0,0
2026-03-09T15:20:01,14.3,4010,7919,60.0,6,0,0,0,0
2026-03-09T15:25:01,40.6,4001,7919,59.0,6,0,0,0,0
2026-03-09T15:30:02,65.7,4020,7919,65.0,6,0,0,0,0
2026-03-09T15:35:01,15.4,3993,7919,60.0,6,0,0,0,0
2026-03-09T15:40:01,18.8,4003,7919,59.0,6,0,0,0,0
2026-03-09T15:45:01,41.8,4014,7919,64.0,6,0,0,0,0
2026-03-09T15:50:01,16.7,4004,7919,60.0,6,0,0,0,0
2026-03-09T15:55:01,18.2,4006,7919,60.0,6,0,0,0,0
2026-03-09T16:00:01,83.8,4049,7919,66.0,6,0,0,0,0
2026-03-09T16:05:01,16.2,3993,7919,59.0,6,0,0,0,0
2026-03-09T16:10:01,17.4,3994,7919,60.0,6,0,0,0,0
2026-03-09T16:15:01,50,4105,7919,64.0,6,0,0,0,0
2026-03-09T16:20:01,14.9,4007,7919,59.0,6,0,0,0,0
2026-03-09T16:25:01,22.1,4024,7919,59.0,6,0,0,0,0
2026-03-09T16:30:01,100,4302,7919,69.0,6,0,0,0,0
2026-03-09T16:35:01,17.6,4346,7919,60.0,6,0,0,0,0
2026-03-09T16:40:01,16.4,4353,7919,60.0,6,0,0,0,0
2026-03-09T16:45:01,41.2,4375,7919,64.0,6,0,0,0,0
2026-03-09T16:50:01,17.4,4349,7919,59.0,6,0,0,0,0
2026-03-09T16:55:01,17.9,4033,7919,59.0,6,0,0,0,0
2026-03-09T17:00:01,94.4,4129,7919,67.0,6,0,0,0,0
2026-03-09T17:05:01,17.4,4317,7919,63.0,6,0,0,0,0
2026-03-09T17:10:01,18.8,4331,7919,60.0,6,0,0,0,0
2026-03-09T17:15:01,100,4671,7919,70.0,6,0,0,0,0
2026-03-09T17:20:01,40.6,4759,7919,71.0,6,0,0,0,0
2026-03-09T17:25:01,38.8,4453,7919,71.0,6,0,0,0,0
2026-03-09T17:30:01,75,4549,7919,76.0,6,0,0,0,0
2026-03-09T17:35:01,16.2,4072,7919,69.0,6,0,0,0,0
2026-03-09T17:40:01,17.9,4066,7919,63.0,6,0,0,0,0
2026-03-09T17:45:01,43.9,4075,7919,66.0,6,0,0,0,0
2026-03-09T17:50:01,17.6,4076,7919,61.0,6,0,0,0,0
2026-03-09T17:55:01,17.6,4068,7919,59.0,6,0,0,0,0
2026-03-09T18:00:01,65.2,4153,7919,66.0,6,0,0,0,0
2026-03-09T18:05:01,26.8,4082,7919,60.0,6,0,0,0,0
2026-03-09T18:10:01,17.1,4300,7919,61.0,6,0,0,0,0
2026-03-09T18:15:01,45.6,4411,7919,66.0,6,0,0,0,0
2026-03-09T18:20:01,18.2,4311,7919,60.0,6,0,0,0,0
2026-03-09T18:25:01,17.4,4289,7919,60.0,6,0,0,0,0
2026-03-09T18:30:01,47.1,4112,7919,65.0,6,0,0,0,0
2026-03-09T18:35:01,20.3,4007,7919,59.0,6,0,0,0,0
2026-03-09T18:40:01,18.8,4016,7919,59.0,6,0,0,0,0
2026-03-09T18:45:01,50.7,4124,7919,65.0,6,0,0,0,0
2026-03-09T18:50:01,17.1,4018,7919,59.0,6,0,0,0,0
2026-03-09T18:55:01,19.2,4017,7919,58.0,6,0,0,0,0
2026-03-09T19:00:01,71.2,4116,7919,67.0,6,0,0,0,0
2026-03-09T19:05:01,16.4,4184,7919,60.0,6,0,0,0,0
2026-03-09T19:10:01,21.2,4177,7919,60.0,6,0,0,0,0
2026-03-09T19:15:02,44.1,4295,7919,65.0,6,0,0,0,0
2026-03-09T19:20:01,18.2,4163,7919,61.0,6,0,0,0,0
2026-03-09T19:25:01,17.2,1492,7919,62.0,6,0,0,0,0
2026-03-09T19:30:01,72.9,1526,7919,67.0,6,0,0,0,0
2026-03-09T19:35:01,74,1967,7919,77.0,6,0,0,0,0
2026-03-09T19:40:01,67.2,1990,7919,90.0,6,0,0,0,0
2026-03-09T19:45:01,81.7,2059,7919,83.0,6,0,0,0,0
2026-03-09T19:50:01,39.4,2816,7919,77.0,6,0,0,0,0
2026-03-09T19:55:01,16.9,2192,7919,69.0,6,0,0,0,0
